gene,GSE199460,GSE210776,GSE95401,GSE279183,pooled_mouse
ACADS,-0.6381865592718745,-1.458774899901798,-0.08785425110909639,0.1977870780856891,-0.6916116390954193
ACADSB,1.6209137639482711,0.38301709790697114,3.360962794062873,-0.9375338858369215,1.4529108848399332
ACADVL,0.038141493028279905,-0.8809165411169518,0.3581386107863988,1.255689576839542,-0.18252504290144492
ACAT1,2.17784151571234,-0.2906402799768043,1.654993983781732,0.0014396556436207565,0.969752997080968
ACBD3,-0.03432845429096894,-0.81095369004028,-0.0039857848119877705,0.49198504382060443,-0.305760027849001
ACBD5,-1.1532346629027843,-2.9528568842339182,-1.752137995429094,-0.0856756018677277,-1.8516333004634964
ACD,1.311646766229276,-0.7413590755752569,0.768819855879923,-0.1334951026822136,0.3262588562006277
ACE2,-0.5501029459763158,0.705867123053502,-0.5446066843235835,-0.3354312174622663,-0.06812622209383547
ACER2,2.996249516416502,2.781300482683735,0.9145006817804495,-0.7006878077523964,1.8990475740184416
ACER3,0.6829488218847226,0.6562103933462733,0.7789317583457303,-0.5410020756380233,0.7043756400116251
ACIN1,-0.3753044058086424,-2.4071592711528047,-0.124891124218455,-0.9494371664619458,-0.8331022719325448
ACLY,-0.6285241695217159,-0.2935470218516481,0.24497897980885788,0.6436818349375771,-0.19406413429379119
ACO2,1.2775381439335012,0.3638677602396749,1.6027084625681776,0.3219424698619296,0.9429383011745609
ACOT11,-0.1827866525832899,1.4129301381725838,-0.8613348346505193,-0.1457854452612994,0.12119680348160425
ACOT13,0.3803779547158712,-0.6310872379836341,0.7043285400098095,0.4633546806772677,0.09593311076753909
ACOT7,0.9690737180580296,2.614257730006923,3.320010456324765,0.4915145183650532,2.0641211581758037
ACOT8,1.6401619632173858,-0.6713550342485608,0.25583165814562975,0.17113048982816842,0.2154913278714728
ACOX1,-0.07829233089108416,-0.8665837903686848,-0.6915544827402574,-0.49638466829660677,-0.5769473254567772
ACOX3,-0.014239516192340401,-0.16848321543042166,0.6602025364776899,-1.1443045127824605,0.142330506113467
ACOXL,0.715259596199265,2.3304620612237925,-0.08095212254439113,0.6034795421329181,0.8629421250547036
ACP1,6.511581457193416,0.8779283823056364,0.9319182722736373,0.932219479289291,1.4282567550592447
