celltype,module,contrast,delta_median,p_MWU,n1,n2,cliffs_delta,FDR_BH
Macrophage,VEGF_angiogenic,NR_vs_R_remission,-0.594816104642545,1.0,3,4,-0.08333333333333333,1.0
mDC,IFN_antiviral,NR_remission_vs_recovery,0.030032356973785188,0.8,2,3,-0.3333333333333333,1.0
mDC,IFN_antiviral,R_remission_vs_recovery,-0.22051230009589035,0.9592760180995473,12,5,-0.03333333333333333,0.9592760180995473
mDC,IFN_antiviral,NR_vs_R_remission,0.20191218039670747,0.7912087912087913,2,12,0.16666666666666666,1.0
mDC,TNF_NFkB,NR_remission_vs_recovery,-0.05370511430715215,1.0,2,3,0.0,1.0
mDC,TNF_NFkB,R_remission_vs_recovery,-0.25836684595371195,0.19457013574660637,12,5,-0.43333333333333335,0.6809954751131223
mDC,TNF_NFkB,NR_vs_R_remission,-0.05261436963643498,0.9230769230769231,2,12,0.08333333333333333,1.0
mDC,IL1_IL6,NR_remission_vs_recovery,0.6071641857968542,0.2,2,3,1.0,0.46666666666666673
mDC,IL1_IL6,R_remission_vs_recovery,-0.05471631111192683,0.8787976729153197,12,5,0.06666666666666667,0.9592760180995473
mDC,IL1_IL6,NR_vs_R_remission,0.1739871066599964,0.5494505494505495,2,12,0.3333333333333333,0.9615384615384617
mDC,TGF_remodeling,NR_remission_vs_recovery,-0.07142264566985837,1.0,2,3,0.0,1.0
mDC,TGF_remodeling,R_remission_vs_recovery,-0.14029909096216164,0.7989657401422106,12,5,-0.1,0.9592760180995473
mDC,TGF_remodeling,NR_vs_R_remission,-0.30933004852456236,1.0,2,12,0.0,1.0
mDC,Myeloid_proteolytic,NR_remission_vs_recovery,0.6111199678730723,0.2,2,3,1.0,0.46666666666666673
mDC,Myeloid_proteolytic,R_remission_vs_recovery,0.3554541031078216,0.15998707175177765,12,5,0.4666666666666667,0.6809954751131223
mDC,Myeloid_proteolytic,NR_vs_R_remission,0.5005129470594607,0.02197802197802198,2,12,1.0,0.15384615384615385
mDC,Chemokine,NR_remission_vs_recovery,-0.03189120471720869,1.0,2,3,0.0,1.0
mDC,Chemokine,R_remission_vs_recovery,-0.11799930382111082,0.3283775048480931,12,5,-0.3333333333333333,0.7662141779788838
mDC,Chemokine,NR_vs_R_remission,0.314890622744618,0.5494505494505495,2,12,0.3333333333333333,0.9615384615384617
mDC,VEGF_angiogenic,NR_remission_vs_recovery,0.2208282879186556,0.2,2,3,1.0,0.46666666666666673
mDC,VEGF_angiogenic,R_remission_vs_recovery,-0.04754711041184531,0.751682439657043,12,5,-0.11666666666666667,0.9592760180995473
mDC,VEGF_angiogenic,NR_vs_R_remission,-0.4074098949762683,0.13186813186813187,2,12,-0.75,0.46153846153846156
T,IFN_antiviral,NR_remission_vs_recovery,0.3833371097838147,0.47619047619047616,6,4,0.3333333333333333,1.0
T,IFN_antiviral,R_remission_vs_recovery,-0.5646632055379242,0.22564102564102564,11,4,-0.45454545454545453,0.39487179487179486
T,IFN_antiviral,NR_vs_R_remission,0.588936265312106,0.3501939237233355,6,11,0.30303030303030304,0.6128393665158371
T,TNF_NFkB,NR_remission_vs_recovery,0.31058032122494866,1.0,6,4,0.0,1.0
T,TNF_NFkB,R_remission_vs_recovery,-0.3666982235396997,0.1772893772893773,11,4,-0.5,0.39487179487179486
T,TNF_NFkB,NR_vs_R_remission,0.5430213280324735,0.1801874595992243,6,11,0.42424242424242425,0.4204374057315234
T,IL1_IL6,NR_remission_vs_recovery,0.017341608676466697,1.0,6,4,0.0,1.0
T,IL1_IL6,R_remission_vs_recovery,-0.7320926499935478,0.13772893772893774,11,4,-0.5454545454545454,0.39487179487179486
T,IL1_IL6,NR_vs_R_remission,0.06767527221903635,0.9598231503270385,6,11,-0.030303030303030304,1.0
T,TGF_remodeling,NR_remission_vs_recovery,-0.4584601797632185,0.0691065247682725,6,4,-0.75,0.4837456733779075
T,TGF_remodeling,R_remission_vs_recovery,0.09520299218356304,0.7938226606250754,11,4,0.11363636363636363,0.8951901130209057
T,TGF_remodeling,NR_vs_R_remission,-0.5431946685341681,0.06233660020052932,6,11,-0.5757575757575758,0.21817810070185262
T,Myeloid_proteolytic,NR_remission_vs_recovery,-0.21445639080506795,0.9142857142857143,6,4,-0.08333333333333333,1.0
T,Myeloid_proteolytic,R_remission_vs_recovery,0.09428877303479012,0.8951901130209057,11,4,0.06818181818181818,0.8951901130209057
T,Myeloid_proteolytic,NR_vs_R_remission,0.03821136577160251,0.6131187617735376,6,11,0.16666666666666666,0.8583662664829527
T,Chemokine,NR_remission_vs_recovery,0.20500772583673563,0.9142857142857143,6,4,0.08333333333333333,1.0
T,Chemokine,R_remission_vs_recovery,-0.5340583645460125,0.10402930402930403,11,4,-0.5909090909090909,0.39487179487179486
T,Chemokine,NR_vs_R_remission,0.6669503564469884,0.03652230122818358,6,11,0.6363636363636364,0.21817810070185262
T,VEGF_angiogenic,NR_remission_vs_recovery,0.0867948055191394,0.7461277785037574,6,4,0.16666666666666666,1.0
T,VEGF_angiogenic,R_remission_vs_recovery,0.297207227683503,0.45831769413307955,11,4,0.2727272727272727,0.6416447717863114
T,VEGF_angiogenic,NR_vs_R_remission,0.012624980765484364,1.0,6,11,0.0,1.0
NK,IFN_antiviral,NR_remission_vs_recovery,0.12838319010487748,0.7619047619047619,6,4,-0.16666666666666666,1.0
NK,IFN_antiviral,R_remission_vs_recovery,-0.08780874372664155,0.7857142857142857,5,3,-0.2,1.0
NK,IFN_antiviral,NR_vs_R_remission,-0.1256383786339582,0.7922077922077921,6,5,-0.13333333333333333,1.0
NK,TNF_NFkB,NR_remission_vs_recovery,-0.7727699794307308,0.35238095238095235,6,4,-0.4166666666666667,0.6166666666666666
