dataset,gene,n_case,n_control,hedges_g,var_g,ci_low,ci_high
GSE210776,1810041L15RIK,4,3,0.048946577809555525,0.5835729100812601,-1.4483355236556859,1.5462286792747968
GSE210776,1810043G02RIK,4,3,-0.7158553170165632,0.6345782168234217,-2.277199506408786,0.8454888723756594
GSE210776,1810046K07RIK,4,3,-0.7687334140423384,0.6424284395198523,-2.339705435836318,0.8022386077516414
GSE210776,1810055G02RIK,4,3,1.514549226894007,0.8127192694018568,-0.25240927441103866,3.2815077281990526
GSE210776,1810058I24RIK,4,3,0.63650023239262,0.6238465879169193,-0.9115853763970351,2.184585841182275
GSE210776,1810062G17RIK,4,3,1.122124046736305,0.7092495709597195,-0.5285282945514838,2.7727763880240937
GSE210776,1810062O18RIK,4,3,-0.38420598834873737,0.5980947574816364,-1.9000030791037812,1.1315911024063063
GSE210776,2010005H15RIK,4,3,-0.5656322208744952,0.6153273142624748,-2.10311113470412,0.9718466929551296
GSE210776,2010007H06RIK,4,3,-0.5466184493035505,0.6132125062452352,-2.0814530214942133,0.9882161228871124
GSE210776,2010013B24RIK,4,3,0.33263311625705805,0.5943978123364215,-1.1784719879205423,1.8437382204346586
GSE210776,2010015M23RIK,4,3,0.17472640435183445,0.5863862649711055,-1.3261604919574774,1.6756133006611462
GSE210776,2010107E04RIK,4,3,0.29779054853834386,0.5922012544132101,-1.2105198767235743,1.806100973800262
GSE210776,2010109A12RIK,4,3,0.025254532007892207,0.5833971124720272,-1.4718020291388598,1.5223110931546444
GSE210776,2010111I01RIK,4,3,-1.0968695793972632,0.7036456207540462,-2.740987889218288,0.5472487304237619
GSE210776,2010300C02RIK,4,3,1.8879714377241503,0.9397769482995528,-0.012093593949124237,3.788036469397425
GSE210776,2200002D01RIK,4,3,5.958802127214865,4.134065612463373,1.973651382658356,9.943952871771373
GSE210776,2210016F16RIK,4,3,0.8888580791495512,0.6623402018202763,-0.7062739277115654,2.483990086010668
GSE210776,2210016L21RIK,4,3,-0.6415447384126919,0.6244912984718343,-2.190430070582055,0.9073405937566711
GSE210776,2210406O10RIK,4,3,1.1386645270411837,0.7129890238475256,-0.5163335496986818,2.7936626037810495
