subtype,feature,delta_bevac_minus_acute,p_exact,acute_mean,bevac_mean,n_acute,n_bevac,fdr_within_subtype
Capillary,Cav1,0.2956864585479101,0.02857142857142857,0.6604248732328415,0.9561113317807516,4,3,0.07472527472527472
Capillary,Cav2,0.2388054380814234,0.02857142857142857,0.6916710883378983,0.9304765264193217,4,3,0.07472527472527472
Capillary,Plvap,0.00032404193188995123,0.34285714285714286,0.0010323113529011607,0.001356353284791112,4,3,0.46628571428571425
Capillary,Cldn5,0.802936851978302,0.05714285714285714,2.815443694591522,3.618380546569824,4,3,0.11428571428571428
Capillary,Lsr,0.21926844616731,0.02857142857142857,0.8418947011232376,1.0611631472905476,4,3,0.07472527472527472
Capillary,Abcg2,0.6854400237401328,0.02857142857142857,1.4784330129623413,2.163873036702474,4,3,0.07472527472527472
Capillary,Axin2,0.1211283492545287,0.02857142857142857,0.16781939193606377,0.28894774119059247,4,3,0.07472527472527472
Capillary,Reck,-0.008484539886315645,0.9714285714285714,0.2698853686451912,0.26140082875887555,4,3,0.9714285714285713
Capillary,Vcam1,0.05219356218973792,0.7142857142857143,0.5179290473461151,0.570122609535853,4,3,0.7834101382488479
Capillary,Icam1,0.047878389557202694,0.45714285714285713,0.7811256796121597,0.8290040691693624,4,3,0.5504761904761905
Capillary,Cxcl9,-0.08308858176072438,0.2,0.1715671345591545,0.08847855279843013,4,3,0.2956521739130435
Capillary,Cxcl10,-0.03873230144381523,0.42857142857142855,0.15535695478320122,0.11662465333938599,4,3,0.5396825396825397
Capillary,Stat1,0.15492755050460494,0.4,0.5771109275519848,0.7320384780565897,4,3,0.5230769230769231
Capillary,Irf1,0.16777922709782922,0.08571428571428572,0.6034919023513794,0.7712711294492086,4,3,0.15338345864661654
Capillary,B2m,-0.4253113865852356,0.05714285714285714,3.2152791619300842,2.7899677753448486,4,3,0.11428571428571428
Capillary,H2-Aa,-0.3754415114720662,0.05714285714285714,0.46606064587831497,0.09061913440624873,4,3,0.11428571428571428
Capillary,H2-Ab1,-0.39838073154290515,0.05714285714285714,0.5000238195061684,0.1016430879632632,4,3,0.11428571428571428
Capillary,Angpt2,-0.018061453476548195,0.4857142857142857,0.14632422663271427,0.12826277315616608,4,3,0.5504761904761905
Capillary,Esm1,-0.0023331860817658403,0.11428571428571428,0.0024961779854493216,0.00016299190368348113,4,3,0.17662337662337663
Capillary,Apln,0.009062462369911373,0.11428571428571428,0.009805539739318192,0.018868002109229565,4,3,0.17662337662337663
Capillary,Kdr,0.5261808882157009,0.02857142857142857,0.6191609054803848,1.1453417936960857,4,3,0.07472527472527472
Capillary,Serpine1,-0.016721761940668028,0.22857142857142856,0.04464679630473256,0.027925034364064533,4,3,0.3238095238095238
Capillary,Ctgf,,,0.31494784727692604,,4,3,
All,Tight_junction,0.5390474299589794,0.02857142857142857,1.1450290381908417,1.684076468149821,4,3,0.04857142857142857
All,BBB_transport_identity,0.34179504215717316,0.02857142857142857,1.0489222258329391,1.3907172679901123,4,3,0.04857142857142857
All,Caveolae_structural,0.2577986940741539,0.02857142857142857,0.501739539206028,0.7595382332801819,4,3,0.04857142857142857
All,PLVAP_permeability,-0.0005045601477225645,0.9142857142857143,0.041692232713103294,0.04118767256538073,4,3,0.9142857142857143
All,Adhesion_trafficking,0.0996859222650528,0.02857142857142857,0.31435348093509674,0.41403940320014954,4,3,0.04857142857142857
All,IFN_antigen_presentation,-0.005041663845380184,0.9142857142857143,0.7079519480466843,0.7029102842013041,4,3,0.9142857142857143
All,Wnt_BBB,0.26692417884866393,0.02857142857142857,0.256555262953043,0.5234794418017069,4,3,0.04857142857142857
All,TGF_response,0.07413060714801151,0.02857142857142857,0.2770422473549843,0.3511728545029958,4,3,0.04857142857142857
All,VEGF_response,0.2261796245972315,0.02857142857142857,0.4353822022676468,0.6615618268648783,4,3,0.04857142857142857
All,ROS_Src,-0.03390716512997943,0.2,0.3769993782043457,0.34309221307436627,4,3,0.272
All,ECM_protease,-0.011731969192624092,0.37142857142857144,0.080506207421422,0.06877423822879791,4,3,0.43546798029556655
All,Mfsd2a,0.14438140889008844,0.02857142857142857,0.38077254593372345,0.5251539548238119,4,3,0.04857142857142857
All,Cav1,0.34925736486911774,0.02857142857142857,0.5888123959302902,0.938069760799408,4,3,0.04857142857142857
