threshold,value,contrast,module,n_x,n_y,median_x,median_y,delta_median,cliffs_delta,p_exact,FDR_BH
q30,module_z,Mixed_vs_NAWM,Wnt_BBB,6,3,0.3494807083505237,-0.8922307074418973,1.241711415792421,0.7777777777777778,0.09523809523809523,0.3055555555555556
q30,module_z,NAWM_vs_CWM,Adhesion_trafficking,3,2,-0.4760980500291378,-0.7829210683241028,0.306823018294965,1.0,0.2,0.8800000000000001
q30,module_z,NAWM_vs_CWM,BBB_transport_identity,3,2,-0.47401421751336814,-0.39653002822859884,-0.0774841892847693,0.3333333333333333,0.8,1.0
q30,module_z,NAWM_vs_CWM,Caveolae_structural,3,2,-0.9287832744108742,-0.5166693624590084,-0.41211391195186575,0.0,1.0,1.0
q30,module_z,NAWM_vs_CWM,ECM_protease,3,2,-0.5755427316442194,-0.4955759130732195,-0.07996681857099991,-0.6666666666666666,0.4,0.8800000000000001
q30,module_z,NAWM_vs_CWM,IFN_antigen_presentation,3,2,-0.22078043443661535,-0.4880333163853773,0.26725288194876196,0.6666666666666666,0.4,0.8800000000000001
q30,module_z,NAWM_vs_CWM,PLVAP_permeability,3,2,-0.009976471698818157,-0.09620942075422191,0.08623294905540375,0.6666666666666666,0.4,0.8800000000000001
q30,module_z,NAWM_vs_CWM,ROS_Src,3,2,-0.3199947722229069,-0.5084135854952013,0.18841881327229443,1.0,0.2,0.8800000000000001
q30,module_z,NAWM_vs_CWM,TGF_response,3,2,-0.5617441326143846,-0.44938950386557364,-0.11235462874881097,0.0,1.0,1.0
q30,module_z,NAWM_vs_CWM,Tight_junction,3,2,-0.002636895872623113,-0.012254617449084904,0.00961772157646179,0.0,1.0,1.0
q30,module_z,NAWM_vs_CWM,VEGF_response,3,2,-0.5501112625875464,-0.2165760329526081,-0.3335352296349383,-0.3333333333333333,0.8,1.0
q30,module_z,NAWM_vs_CWM,Wnt_BBB,3,2,-0.8922307074418973,-0.36414246896915126,-0.528088238472746,-0.3333333333333333,0.8,1.0
q30,module_z,Active_vs_Mixed,Adhesion_trafficking,3,6,0.8310985835110234,0.058503058298571615,0.7725955252124518,0.1111111111111111,0.9047619047619047,0.9952380952380951
q30,module_z,Active_vs_Mixed,BBB_transport_identity,3,6,-0.36392006003572563,0.7234491003238175,-1.0873691603595432,-0.5555555555555556,0.26190476190476186,0.9603174603174602
q30,module_z,Active_vs_Mixed,Caveolae_structural,3,6,0.5395622170168243,0.30563125903161037,0.2339309579852139,0.0,1.0,1.0
q30,module_z,Active_vs_Mixed,ECM_protease,3,6,0.8656786824050057,0.09006430607387927,0.7756143763311264,0.4444444444444444,0.38095238095238093,0.982142857142857
q30,module_z,Active_vs_Mixed,IFN_antigen_presentation,3,6,0.673461383938854,-0.34356744342707185,1.0170288273659258,0.2222222222222222,0.7142857142857142,0.982142857142857
